year,area_code,value
2004,001-142-143,0.0183588061481714
2004,001-150-154,0.129036709666252
2004,001-019-021,0.0949991643428802
2004,001-142-035,0.103130422532558
2004,001-009-061,0.0643268525600433
2004,001-150-154-IRL,0.391201138496399
2004,001-019-419-013-NIC,0.0859958156943321
2004,global,0.0730135589838028
2004,001-019-419-029-MTQ,0.0750261694192886
2004,001-142-035-BRN,0.0120115177705884
2004,001-142-035-MYS,0.0877193734049797
2004,,0.145790904760361
2004,001-150-154-FRO,0.308359086513519
2004,001-150-155-LIE,0.209273561835289
2004,001-150-039-ITA,0.20757083594799
2004,001-150-151-HUN,0.219195947051048
2004,001-150-154-DNK,0.495967656373978
2004,001-150-039-MLT,0.0733348056674004
2004,001-019-419-029-PRI,0.104309357702732
2004,001-142-145-ARM,0.0807239338755608
2004,001-142-035-PHL,0.16192464530468
2004,001-142-145-YEM,0.0192821621894836
2004,001-150-154-LVA,0.119333416223526
2004,001-019-419-029-BRB,0.10746930539608
2004,001-150-154-SWE,0.0475791431963444
2004,001-150-155-LUX,0.308219194412231
2004,001-009,0.0623026564717293
2004,001-019-419-029-KNA,0.030247900635004
2004,001-009-054-NCL,0.0052590682171285
2004,001-009-053-NZL,0.0896800458431244
2004,001-019-021-USA,0.159926488995552
2004,001-019-419-029-DMA,0.0584438629448414
2004,001-150-154-ALA,0.0827064961194992
2004,001-150-154-EST,0.0957479849457741
2004,001-002-202-014-ETH,0.048896249383688
2004,001-019-419,0.0637584403157234
2004,001-002-202-014-ZMB,0.0140991006046534
2004,001-002-202-017-COG,0.0010590479942038
2004,001-002-202-014-SSD,0.107562832534313
2004,001-002-202-014-SOM,0.0109612578526139
2004,001-002-202-014-KEN,0.0355857424438
2004,001-002-202-014-MUS,0.0889499261975288
2004,001-002-015-SDN,0.103175178170204
2004,001-002-202-011-CIV,0.0715422704815865
2004,001-019-419-013-MEX,0.0635217353701591
2004,001-009-054,0.0038799906615167
2004,001-002-015-MAR,0.140051290392876
2004,001-002-202-017,0.0040691895410418
2004,001-002-202-018,0.0442280955612659
2004,001-002-202-014,0.0440948903560638
2004,001-142-030,0.136002212762833
2004,001-142-034-NPL,0.107661485671997
2004,001-142-143-KAZ,0.007160635665059
2004,001-142-035-IDN,0.0946469455957413
